"behavior","cluster_id","cluster_label"
"buy a musical instrument","13",""
"touch the floor","27","to lie on the floor"
"bring a pet","35","to interact with animals"
"breathing heavily","39","to make loud noises"
"live","13",""
"answer a judge's question","12","to ask for something"
"chant or sing patriotic songs","13",""
"drive a bumper car","3","to drive"
"go sunbathing","46","to be in the dark"
"use a scythe to harvest wheat","21","to care for plants"
"get a new color","47","to use cosmetics"
"talk in a high-pitched voice","39","to make loud noises"
"work full-time","15","to interact with others"
"pray after a race","8","to participate in religious practices"
"lean against the counter","20","to sit"
"wear a hazmat suit","22","to wear"
"start a band","13",""
"go ice skating","10","to move around"
"wear a necklace","22","to wear"
"harvest corn by hand","21","to care for plants"
"use a compass","7",""
"spin around in it","45","to dance"
"change your oil","47","to use cosmetics"
"hold the door for people","33","to enter spaces"
"discuss controversial topics","42","to discuss"
"give someone a prize","44","to touch someone"
"engage in public displays of affection with someone","44","to touch someone"
"do push ups","15","to interact with others"
"sit at a table by yourself","40","to go"
"give someone a shot","44","to touch someone"
"handle food without clean hands","14","to use your hands"
"ring a bell","39","to make loud noises"
"leave the car door open","33","to enter spaces"
"coordinate care with physicians","15","to interact with others"
"bring up personal problems","42","to discuss"
"die","10","to move around"
"leave the room without asking","11","to leave"
"loud talking","39","to make loud noises"
"use the oven to bake","32","to cook"
"climb on top of a display","4","to climb"
"clean up after a dog","24","to clean"
"work","16","to interact with objects"
"paint the hull","34","to engage with the art community"
"make a mess","24","to clean"
"play in dirty clothes","6","to manage clothing"
"wear a dirty or wrinkled outfit","22","to wear"
"eat at the bar","31","to eat"
"ask someone for a refund","12","to ask for something"
"go on rides","10","to move around"
"laugh to yourself","29","to engage in humorous activities"
"give someone a massage","44","to touch someone"
"analyze evidence","23","to check"
"make sexual advances towards someone","44","to touch someone"
"harm a plant","21","to care for plants"
"drink a sports drink","1","to consume beverages"
"clean the windows","24","to clean"
"get a tattoo of a pentagram","34","to engage with the art community"
"check the aircraft","23","to check"
"enforce park rules","18","to play"
"handle food","25","to serve food"
"milk a cow","35","to interact with animals"
"barter for goods","2","to buy"
"wear a kilt","22","to wear"
"adjust your clothing or appearance","6","to manage clothing"
"laugh at the speaker","29","to engage in humorous activities"
"ask someone for directions","12","to ask for something"
"order the cheapest item on the menu","2","to buy"
"ride","3","to drive"
"use the weight machines","7",""
"leave a gate open","33","to enter spaces"
"ask for a mammogram","12","to ask for something"
"get into the cannon","33","to enter spaces"
"accept food or drink from strangers","1","to consume beverages"
"dance in a group","45","to dance"
"leave dirty dishes in the sink","24","to clean"
"coordinate with pilots and air traffic controllers","15","to interact with others"
"take off your socks","6","to manage clothing"
"leave dirty clothes on the floor","27","to lie on the floor"
"ask for help to change a tire","12","to ask for something"
"pouring alcohol down the drain","1","to consume beverages"
"play scrabble","18","to play"
"bring a gun","28","to bring items"
"bring luxury items","28","to bring items"
"ski with your eyes closed","46","to be in the dark"
"get an organ transplant","15","to interact with others"
"show public displays of affection","17","to engage in sexual activities"
"fill out paperwork","26","to perform tasks"
"give a presentation","49","to interact"
"buy popcorn","2","to buy"
"eating olives from a plate","31","to eat"
"gambling","18","to play"
"ask for the recipe","12","to ask for something"
"stand up without assistance","20","to sit"
"use a rattle","7",""
"sell souvenirs","2","to buy"
"make copies of pornographic material","26","to perform tasks"
"check clients in","15","to interact with others"
"leave a fan on","11","to leave"
"hit on someone in line","44","to touch someone"
"fly the plane","10","to move around"
"eat a hamburger","31","to eat"
"work long hours","15","to interact with others"
"taking out the trash","24","to clean"
"write articles about sporting events","18","to play"
"look for clues","23","to check"
"eat processed food","31","to eat"
"leave a mess","11","to leave"
"donate a book","26","to perform tasks"
"dance around","45","to dance"
"get a tattoo of a skull","34","to engage with the art community"
"put your hands up","14","to use your hands"
"climb to the top of a tall tree","4","to climb"
"get in line","15","to interact with others"
"drink sugary beverages","1","to consume beverages"
"talk about your sexual experiences","42","to discuss"
"water it","5","to be in water"
"get in with your clothes on","6","to manage clothing"
"ask for your food to go","25","to serve food"
"bring a stranger inside","33","to enter spaces"
"recruit new employees","15","to interact with others"
"staring off into space","38","to look"
"checking the fridge","23","to check"
"put the groceries in bags","43","to engage in store operations"
"rush the court","18","to play"
"climb without a partner","40","to go"
"throw garbage on the floor","27","to lie on the floor"
"hit the steering wheel","3","to drive"
"profess your love to your crush","17","to engage in sexual activities"
"cut down the corn","21","to care for plants"
"moaning","39","to make loud noises"
"play games","18","to play"
"climb the rocks","4","to climb"
"destroy data","16","to interact with objects"
"getting a car history report","3","to drive"
"scream for help","39","to make loud noises"
"direct guests to exits","33","to enter spaces"
"wear ripped or dirty clothing","6","to manage clothing"
"climb on the pulpit","4","to climb"
"argue with the referee","9","to express negative emotions"
"go to bed without showering first","30","to sleep"
"talk about your language","42","to discuss"
"bend down to pick up a fallen napkin","16","to interact with objects"
"put your hand on someone's shoulder","44","to touch someone"
"walk around without a cane or guide dog","10","to move around"
"climb on playground equipment","4","to climb"
